"0","1","2","3","4","5","6","7","8"
"Sekolah Tinggi Teologi Pelita Kebenaran","Teologi (Akademik)","S1","","4859/SK/BAN-PT/Ak-PPJ/S/XII/2019","2019","C","-","Masih berlaku"
"Sekolah Tinggi Teologi Pelita Kebenaran","Pendidikan Agama Kristen","S1","","4857/SK/BAN-PT/Ak-PPJ/S/XII/2019","2019","C","-","Masih berlaku"
"Sekolah Tinggi Teologi Sunsugos Jakarta","Teologi/Kependetaan","S1","","5567/SK/BAN-PT/Akred/S/XII/2019","2019","C","2024-12-26","Masih berlaku"
"IAIN Tulungagung","Pendidikan Agama Islam","S2","","5538/SK/BAN-PT/Akred/M/XII/2019","2019","A","2024-12-26","Masih berlaku"
"Sekolah Tinggi Teologi Jaffray Jakarta","Teologi","S2","","5555/SK/BAN-PT/Akred/M/XII/2019","2019","B","2024-12-26","Masih berlaku"
"Sekolah Tinggi Teologi Injili Arastamar (SETIA) Ngabang","Pendidikan Agama Kristen","S1","","5566/SK/BAN-PT/Akred/S/XII/2019","2019","C","2024-12-26","Masih berlaku"
"Universitas Islam Negeri Syarif Hidayatullah","Pendidikan Agama Islam","S2","","5536/SK/BAN-PT/Akred/M/XII/2019","2019","A","2024-12-26","Masih berlaku"
"Sekolah Tinggi Pariwisata Bandung","Administrasi Hotel","D-IV","","5537/SK/BAN-PT/Akred/ST/XII/2019","2019","A","2024-12-26","Masih berlaku"
"Universitas Islam Negeri Ar-Raniry Banda Aceh","Pengembangan Masyarakat Islam","S1","","5540/SK/BAN-PT/Akred/S/XII/2019","2019","A","2024-12-26","Masih berlaku"
"Universitas Islam Negeri Raden Fatah Palembang","Manajemen Zakat Dan Wakaf","S1","","5549/SK/BAN-PT/Akred/S/XII/2019","2019","B","2024-12-26","Masih berlaku"
"Universitas Islam Negeri Alauddin","Ilmu Falaq","S1","","5557/SK/BAN-PT/Akred/S/XII/2019","2019","B","2024-12-26","Masih berlaku"
"Sekolah Tinggi Pariwisata Nusa Dua Bali","Bisnis Hospitality","S1","","5539/SK/BAN-PT/Akred/S/XII/2019","2019","A","2024-12-26","Masih berlaku"
"Universitas Islam Negeri Ar-Raniry Banda Aceh","Ekonomi Syariah","S2","","5551/SK/BAN-PT/Akred/M/XII/2019","2019","B","2024-12-26","Masih berlaku"
"IAIN Palangkaraya","Manajemen Pendidikan Islam","S1","","5546/SK/BAN-PT/Akred/S/XII/2019","2019","B","2024-12-26","Masih berlaku"
"Institut Agama Islam Negeri Palu","Pendidikan Bahasa Arab","S1","","5541/SK/BAN-PT/Akred/S/XII/2019","2019","A","2024-12-26","Masih berlaku"
"Universitas Islam Negeri Ar-Raniry Banda Aceh","Hukum Keluarga (Ahwal Al-syakhshiyyah)","S2","","5548/SK/BAN-PT/Akred/M/XII/2019","2019","B","2024-12-26","Masih berlaku"
"IAIN Palangkaraya","Ilmu Al Quran Dan Tafsir","S1","","5559/SK/BAN-PT/Akred/S/XII/2019","2019","B","2024-12-26","Masih berlaku"
"Sekolah Tinggi Alkitab Jember","Pendidikan Agama Kristen","S1","","5569/SK/BAN-PT/Akred/S/XII/2019","2019","C","2024-12-26","Masih berlaku"
"Sekolah Tinggi Teologi Gereja Pentakosta Di Indonesia Pematang Siantar","Teologi Kependetaan","S1","","5568/SK/BAN-PT/Akred/S/XII/2019","2019","C","2024-12-26","Masih berlaku"
"STT EKUMENE JAKARTA","Teologi","S2","","5565/SK/BAN-PT/Akred/M/XII/2019","2019","C","2024-12-26","Masih berlaku"
"Institut Agama Islam Negeri Pekalongan","Manajemen Dakwah","S1","","5564/SK/BAN-PT/Akred/S/XII/2019","2019","B","2024-12-26","Masih berlaku"
"Universitas Cenderawasih","Pendidikan Guru Sekolah Dasar","S1","","5554/SK/BAN-PT/Akred/S/XII/2019","2019","B","2024-12-26","Masih berlaku"
"Institut Agama Islam Negeri Madura","Pendidikan Guru Madrasah Ibtidaiyah","S1","","5563/SK/BAN-PT/Akred/S/XII/2019","2019","B","2024-12-26","Masih berlaku"
"Universitas Cenderawasih","Sistem Informasi","S1","","5544/SK/BAN-PT/Akred/S/XII/2019","2019","B","2024-12-26","Masih berlaku"
"Universitas Islam Negeri Raden Fatah Palembang","Studi Islam","S2","","5553/SK/BAN-PT/Akred/M/XII/2019","2019","B","2024-12-26","Masih berlaku"
"Universitas Cenderawasih","Pendidikan Guru Pendidikan Anak Usia Dini","S1","","5556/SK/BAN-PT/Akred/S/XII/2019","2019","B","2024-12-26","Masih berlaku"
"IAIN Tulungagung","Bahasa Dan Sastra Arab","S1","","5550/SK/BAN-PT/Akred/S/XII/2019","2019","B","2024-12-26","Masih berlaku"
"IAIN Surakarta","Tasawuf Dan Psikoterapi","S1","","5558/SK/BAN-PT/Akred/S/XII/2019","2019","B","2024-12-26","Masih berlaku"
"IAIN Jember","Pengembangan Masyarakat Islam","S1","","5543/SK/BAN-PT/Akred/S/XII/2019","2019","B","2024-12-26","Masih berlaku"
"IAIN Bengkulu","Manajemen Haji Dan Umrah","S1","","5560/SK/BAN-PT/Akred/S/XII/2019","2019","B","2024-12-26","Masih berlaku"
"Sekolah Tinggi Teologi Injili Bethsaida Medan","Pendidikan Agama Kristen","S1","","5597/SK/BAN-PT/Akred/S/XII/2019","2019","C","2024-12-31","Masih berlaku"
"Universitas Islam Negeri Syarif Hidayatullah","Ilmu Tasawuf","S1","","5702/SK/BAN-PT/Akred/S/XII/2019","2019","B","2024-12-31","Masih berlaku"
"Institut Agama Islam Negeri Metro","Komunikasi Dan Penyiaran Islam","S1","","5589/SK/BAN-PT/Akred/S/XII/2019","2019","B","2024-12-31","Masih berlaku"
"Sekolah Tinggi Teologi Bethel Medan","Teologi","S1","","5596/SK/BAN-PT/Akred/S/XII/2019","2019","C","2024-12-31","Masih berlaku"
"Sekolah Tinggi Pariwisata Bandung","Manajemen Destinasi Pariwisata","D-IV","","5582/SK/BAN-PT/Akred/ST/XII/2019","2019","A","2024-12-31","Masih berlaku"
"Sekolah Tinggi Pariwisata Bandung","Manajemen Tata Boga","D-III","","5581/SK/BAN-PT/Akred/Dipl-III/XII/2019","2019","A","2024-12-31","Masih berlaku"
"Sekolah Tinggi Teologi Iman Jakarta","Teologi","S1","","5594/SK/BAN-PT/Akred/S/XII/2019","2019","C","2024-12-31","Masih berlaku"
"Universitas Islam Negeri Ar-Raniry Banda Aceh","Pendidikan Bahasa Arab","S2","","5587/SK/BAN-PT/Akred/M/XII/2019","2019","B","2024-12-31","Masih berlaku"
"Sekolah Tinggi Alkitab Jember","Teologi (Akademik)","S2","","5595/SK/BAN-PT/Akred/M/XII/2019","2019","C","2024-12-31","Masih berlaku"
"Universitas Kristen Indonesia Maluku","Teologi Kristen Protestan","S2","12","5586/SK/BAN-PT/Akred/M/XII/2019","2019","B","2024-12-31","Masih berlaku"
"Universitas Islam Negeri Raden Fatah Palembang","Komunikasi Dan Penyiaran Islam","S1","","5584/SK/BAN-PT/Akred/S/XII/2019","2019","A","2024-12-31","Masih berlaku"
"Institut Agama Islam Negeri Pekalongan","Akuntansi Syariah","S1","","5592/SK/BAN-PT/Akred/S/XII/2019","2019","B","2024-12-31","Masih berlaku"
"IAIN Palangkaraya","Pendidikan Islam Anak Usia Dini","S1","","5588/SK/BAN-PT/Akred/S/XII/2019","2019","B","2024-12-31","Masih berlaku"
"Institut Agama Islam Negeri Madura","Hukum Keluarga Islam (Ahwal Syakhshiyyah)","S2","","5591/SK/BAN-PT/Akred/M/XII/2019","2019","B","2024-12-31","Masih berlaku"
"Sekolah Tinggi Teologi Abdi Gusti Nganjuk","Pendidikan Agama Kristen","S1","","5598/SK/BAN-PT/Akred/S/XII/2019","2019","C","2024-12-31","Masih berlaku"
"Sekolah Tinggi Teologi Injili Arastamar (SETIA) Jakarta","Teologi (Akademik)","S1","","5593/SK/BAN-PT/Ak-PNB/S/XII/2019","2019","C","2024-12-03","Masih berlaku"
"Politeknik Negeri Banyuwangi","Teknik Mesin","D-III","","5590/SK/BAN-PT/SURV-BDG/Dipl-III/XII/2019","2019","B","2024-07-02","Masih berlaku"
"STMIK Musi Rawas","Teknik Informatika","S1","02","5670/SK/BAN-PT/Ak-PKP/S/XII/2019","2019","C","-","Masih berlaku"
"AKADEMI FARMASI YPF, BANDUNG","FARMASI","D-III","04","0746/LAM-PTKes/Akr/Dip/XII/2019","2019","B","2024-12-28","Masih berlaku"
"AKADEMI GIZI ANDALUSIA, JAKARTA","GIZI","D-III","03","0755/LAM-PTKes/Akr/Dip/XII/2019","2019","C","2024-12-28","Masih berlaku"
"AKADEMI KEBIDANAN ARTA KABANJAHE, SUMATERA UTARA","KEBIDANAN","D-III","01","0733/LAM-PTKes/Akr/Dip/XII/2019","2019","C","2024-12-28","Masih berlaku"
"AKADEMI KEBIDANAN BAKTI INDONESIA BOGOR, BOGOR","KEBIDANAN","D-III","04","0729/LAM-PTKes/Akr/Dip/XII/2019","2019","C","2024-12-28","Masih berlaku"
"AKADEMI KEPERAWATAN BERKALA WIDYA HUSADA, JAKARTA","KEPERAWATAN","D-III","03","0715/LAM-PTKes/Akr/Dip/XII/2019","2019","B","2024-12-28","Masih berlaku"
"AKADEMI PERAWAT KESEHATAN PROVINSI NTB, SAKRA","KEPERAWATAN","D-III","","0720/LAM-PTKes/Akr/Dip/XII/2019","2019","C","2024-12-28","Masih berlaku"
"AKADEMI REFRAKSI OPTISI LEPRINDO JAKARTA, JAKARTA","REFRAKSI OPTISI","D-III","03","0758/LAM-PTKes/Akr/Dip/XII/2019","2019","B","2024-12-28","Masih berlaku"
"INSTITUT KESEHATAN MEDISTRA LUBUK PAKAM, DELI SERDANG","KEBIDANAN ","S1","01","0721/LAM-PTKes/Akr/Sar/XII/2019","2019","C","2024-12-28","Masih berlaku"
"INSTITUT KESEHATAN MEDISTRA LUBUK PAKAM, DELI SERDANG","BIDAN","-","01","0722/LAM-PTKes/Akr/Pro/XII/2019","2019","C","2024-12-28","Masih berlaku"
"INSTITUT TEKNOLOGI DAN KESEHATAN BALI, DENPASAR","KEPERAWATAN","D-III","08","0713/LAM-PTKes/Akr/Dip/XII/2019","2019","B","2024-12-28","Masih berlaku"
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN BANDUNG, BANDUNG","SANITASI LINGKUNGAN","-","","0750/LAM-PTKes/Akr/Dip/XII/2019","2019","A","2024-12-28","Masih berlaku"
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN BANDUNG, BANDUNG (KAMPUS BOGOR)","KEPERAWATAN ","D-III","","0716/LAM-PTKes/Akr/Dip/XII/2019","2019","A","2024-12-28","Masih berlaku"
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN BANDUNG, BANDUNG (KAMPUS BOGOR)","KEBIDANAN ","D-III","","0732/LAM-PTKes/Akr/Dip/XII/2019","2019","A","2024-12-28","Masih berlaku"
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN BENGKULU, BENGKULU","KEPERAWATAN","D-III","","0718/LAM-PTKes/Akr/Dip/XII/2019","2019","A","2024-12-28","Masih berlaku"
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN JAYAPURA, JAYAPURA (KAMPUS WAMENA)","KEPERAWATAN ","D-III","","0719/LAM-PTKes/Akr/Dip/XII/2019","2019","B","2024-12-28","Masih berlaku"
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN KENDARI, KENDARI","KEPERAWATAN","D-III","","0714/LAM-PTKes/Akr/Dip/XII/2019","2019","B","2024-12-28","Masih berlaku"
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN KENDARI, KENDARI","KEBIDANAN","-","","0723/LAM-PTKes/Akr/Dip/XII/2019","2019","B","2024-12-28","Masih berlaku"
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MAKASSAR, MAKASSAR","KEBIDANAN","D-III","","0731/LAM-PTKes/Akr/Dip/XII/2019","2019","B","2024-12-28","Masih berlaku"
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MAKASSAR, MAKASSAR","FARMASI","D-III","","0745/LAM-PTKes/Akr/Dip/XII/2019","2019","B","2024-12-28","Masih berlaku"
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MEDAN, MEDAN","SANITASI LINGKUNGAN","-","","0751/LAM-PTKes/Akr/Dip/XII/2019","2019","B","2024-12-28","Masih berlaku"
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PALEMBANG, PALEMBANG (KAMPUS KAB LAHAT)","KEPERAWATAN ","D-III","","0717/LAM-PTKes/Akr/Dip/XII/2019","2019","B","2024-12-28","Masih berlaku"
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN SURABAYA, SURABAYA (KAMPUS MAGETAN)","KEBIDANAN ","D-III","","0730/LAM-PTKes/Akr/Dip/XII/2019","2019","A","2024-12-28","Masih berlaku"
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN SURABAYA, SURABAYA (KAMPUS SURABAYA)","KESEHATAN LINGKUNGAN ","D-III","","0752/LAM-PTKes/Akr/Dip/XII/2019","2019","A","2024-12-28","Masih berlaku"
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN SURAKARTA, SURAKARTA","TERAPI WICARA","D-III","","0760/LAM-PTKes/Akr/Dip/XII/2019","2019","A","2024-12-28","Masih berlaku"
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN SURAKARTA, SURAKARTA","OKUPASI TERAPI","D-III","","0762/LAM-PTKes/Akr/Dip/XII/2019","2019","A","2024-12-28","Masih berlaku"
"POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN SURAKARTA, SURAKARTA","ORTOTIK DAN  PROSTETIK","D-III","","0763/LAM-PTKes/Akr/Dip/XII/2019","2019","A","2024-12-28","Masih berlaku"
"SEKOLAH TINGGI ILMU FARMASI RIAU, PEKANBARU","FARMASI","S1","10","0739/LAM-PTKes/Akr/Sar/XII/2019","2019","B","2024-12-28","Masih berlaku"
"SEKOLAH TINGGI ILMU FARMASI RIAU, PEKANBARU","APOTEKER","-","10","0740/LAM-PTKes/Akr/Pro/XII/2019","2019","C","2024-12-28","Masih berlaku"
"SEKOLAH TINGGI ILMU KESEHATAN AISYIYAH SURAKARTA, SURAKARTA","KEBIDANAN","D-III","06","0728/LAM-PTKes/Akr/Dip/XII/2019","2019","A","2024-12-28","Masih berlaku"
"SEKOLAH TINGGI ILMU KESEHATAN BINA BANGSA MAJENE, MAJENE","KEBIDANAN","D-III","09","0727/LAM-PTKes/Akr/Dip/XII/2019","2019","B","2024-12-28","Masih berlaku"
"SEKOLAH TINGGI ILMU KESEHATAN CITRA HUSADA MANDIRI KUPANG, KUPANG","KEBIDANAN","D-III","15","0724/LAM-PTKes/Akr/Dip/XII/2019","2019","B","2024-12-28","Masih berlaku"
"SEKOLAH TINGGI ILMU KESEHATAN FAATHIR HUSADA, TANGERANG","KEBIDANAN","D-III","04","0726/LAM-PTKes/Akr/Dip/XII/2019","2019","B","2024-12-28","Masih berlaku"
"SEKOLAH TINGGI ILMU KESEHATAN IMMANUEL, BANDUNG","ILMU GIZI","S1","04","0753/LAM-PTKes/Akr/Sar/XII/2019","2019","B","2024-12-28","Masih berlaku"
"SEKOLAH TINGGI ILMU KESEHATAN INSAN CENDEKIA MEDIKA, JOMBANG","KEBIDANAN","D-III","07","0725/LAM-PTKes/Akr/Dip/XII/2019","2019","B","2024-12-28","Masih berlaku"
"SEKOLAH TINGGI ILMU KESEHATAN MEDIKA SERAMOE BARAT, ACEH BARAT","KEBIDANAN","D-III","13","0736/LAM-PTKes/Akr/Dip/XII/2019","2019","C","2024-12-28","Masih berlaku"
"SEKOLAH TINGGI ILMU KESEHATAN MUHAMMADIYAH PALEMBANG, PALEMBANG ","KEBIDANAN","D-III","02","0734/LAM-PTKes/Akr/Dip/XII/2019","2019","A","2024-12-28","Masih berlaku"
"SEKOLAH TINGGI ILMU KESEHATAN NANI HASANUDDIN MAKASSAR, MAKASSAR","FARMASI","D-III","09","0748/LAM-PTKes/Akr/Dip/XII/2019","2019","B","2024-12-28","Masih berlaku"
"SEKOLAH TINGGI ILMU KESEHATAN YAYASAN RS DR. SOETOMO, SURABAYA","REKAM MEDIK DAN INFORMASI KESEHATAN","D-III","07","0761/LAM-PTKes/Akr/Dip/XII/2019","2019","B","2024-12-28","Masih berlaku"
"UNIVERSITAS AHMAD DAHLAN, YOGYAKARTA","APOTEKER","Profesi","05","0741/LAM-PTKes/Akr/Pro/XII/2019","2019","A","2024-12-28","Masih berlaku"
"UNIVERSITAS HALU OLEO, KENDARI","APOTEKER","-","","0737/LAM-PTKes/Akr/Pro/XII/2019","2019","B","2024-12-28","Masih berlaku"
"UNIVERSITAS HASANUDDIN, MAKASSAR","ILMU KEPERAWATAN","S2","","0712/LAM-PTKes/Akr/Mag/XII/2019","2019","A","2024-12-28","Masih berlaku"
"UNIVERSITAS MAARIF HASYIM LATIF, SIDOARJO","ANALIS KESEHATAN","D-III","07","0759/LAM-PTKes/Akr/Dip/XII/2019","2019","B","2024-12-28","Masih berlaku"
"UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA, JAKARTA","GIZI","S1","03","0754/LAM-PTKes/Akr/Sar/XII/2019","2019","A","2024-12-28","Masih berlaku"
"UNIVERSITAS MUHAMMADIYAH PURWOKERTO, PURWOKERTO","TEKNOLOGI LABORATORIUM MEDIK","D-IV","06","0757/LAM-PTKes/Akr/Dip/XII/2019","2019","B","2024-12-28","Masih berlaku"
"UNIVERSITAS MULAWARMAN, SAMARINDA","FARMASI","S1","","0744/LAM-PTKes/Akr/Sar/XII/2019","2019","B","2024-12-28","Masih berlaku"
"UNIVERSITAS MULAWARMAN, SAMARINDA","FARMASI","D-III","","0747/LAM-PTKes/Akr/Dip/XII/2019","2019","B","2024-12-28","Masih berlaku"
"UNIVERSITAS PADJADJARAN, BANDUNG","ILMU KEDOKTERAN NUKLIR","Spesialis","","0711/LAM-PTKes/Akr/Spe/XII/2019","2019","A","2024-12-28","Masih berlaku"
"UNIVERSITAS PANCASILA, JAKARTA","APOTEKER","Profesi","03","0738/LAM-PTKes/Akr/Pro/XII/2019","2019","A","2024-12-28","Masih berlaku"
"UNIVERSITAS RATU SAMBAN, ARGA MAKMUR","KESEHATAN MASYARAKAT","S1","02","0749/LAM-PTKes/Akr/Sar/XII/2019","2019","C","2024-12-28","Masih berlaku"
"UNIVERSITAS SANATA DHARMA, YOGYAKARTA","FARMASI","S1","05","0742/LAM-PTKes/Akr/Sar/XII/2019","2019","A","2024-12-28","Masih berlaku"
"UNIVERSITAS SEBELAS MARET, SURAKARTA","KEBIDANAN","D-III","","0735/LAM-PTKes/Akr/Dip/XII/2019","2019","A","2024-12-28","Masih berlaku"
"UNIVERSITAS UDAYANA, DENPASAR","FISIOTERAPI","Profesi","","0756/LAM-PTKes/Akr/Pro/XII/2019","2019","B","2024-12-28","Masih berlaku"
"UNIVERSITAS UDAYANA, DENPASAR","KEDOKTERAN HEWAN","S1","","0764/LAM-PTKes/Akr/Sar/XII/2019","2019","A","2024-12-28","Masih berlaku"
"UNIVERSITAS UDAYANA, DENPASAR","DOKTER HEWAN","Profesi","","0765/LAM-PTKes/Akr/Pro/XII/2019","2019","A","2024-12-28","Masih berlaku"
"UNIVERSITAS WAHID HASYIM, SEMARANG","FARMASI","S1","06","0743/LAM-PTKes/Akr/Sar/XII/2019","2019","B","2024-12-28","Masih berlaku"
"STT Gereja Kristen Sumba","Teologi (Akademik)","S1","","9/SK/BAN-PT/Akred/S/I/2020","2020","C","2025-01-07","Masih berlaku"
"Sekolah Tinggi Pariwisata Bandung","Manajemen Divisi Kamar","D-III","","3/SK/BAN-PT/Akred/Dipl-III/I/2020","2020","A","2025-01-07","Masih berlaku"
"Universitas Bondowoso","Pendidikan Matematika","S1","07","29/SK/BAN-PT/Akred/S/I/2020","2020","C","2024-10-22","Masih berlaku"
"Universitas Islam Negeri Sumatera Utara Medan","Pendidikan Guru Madrasah Ibtidaiyah","S1","","2/SK/BAN-PT/Akred/S/I/2020","2020","A","2025-01-07","Masih berlaku"
"IAIN Ternate","Hukum Pidana Islam (Jinayah)","S1","","10/SK/BAN-PT/Akred/S/I/2020","2020","C","2025-01-07","Masih berlaku"
"Universitas Islam Negeri Sumatera Utara Medan","Ilmu Al Qur'an Dan Tafsir","S2","","8/SK/BAN-PT/Akred/M/I/2020","2020","B","2025-01-07","Masih berlaku"
"Universitas Islam Negeri Sumatera Utara Medan","Ilmu Hadis","S1","","7/SK/BAN-PT/Akred/S/I/2020","2020","B","2025-01-07","Masih berlaku"
"Universitas Islam Negeri Sunan Gunung Djati","Studi Agama-Agama","S3","","4/SK/BAN-PT/Akred/D/I/2020","2020","B","2025-01-07","Masih berlaku"
"STKIP Muhammadiyah Bulukumba","Pendidikan Biologi","S1","09","6/SK/BAN-PT/Ak-PPJ/S/I/2020","2020","B","-","Masih berlaku"
"Institut Ilmu Kesehatan Medika Persada Bali","Psikologi","S1","08","22/SK/BAN-PT/Ak-PKP/S/I/2020","2020","C","-","Masih berlaku"
"Universitas Islam Negeri Sumatera Utara Medan","Manajemen Dakwah","S1","","31/SK/BAN-PT/Akred/S/I/2020","2020","B","2025-01-08","Masih berlaku"
"Universitas Syiah Kuala","Teknik Kimia","S2","","10509/SK/BAN-PT/Ak-PPJ/M/VIII/2021","2021","A","2026-08-27","Masih berlaku"
"Universitas Khairun","Teknologi Pertanian","S1","","82/SK/BAN-PT/Ak-PPJ/S/I/2020","2020","B","-","Masih berlaku"
"STAI YAPTIP Simpang Empat Pasaman Barat","Manajemen Pendidikan Islam","S1","","582/SK/BAN-PT/Akred/S/I/2020","2020","C","2024-10-30","Masih berlaku"
"IAIN Palangkaraya","Bimbingan Konseling Islam","S1","","451/SK/BAN-PT/Akred/S/I/2020","2020","B","2025-01-14","Masih berlaku"
"Sekolah Tinggi Teologi Bethel Medan","Pendidikan Agama Kristen","S1","","593/SK/BAN-PT/Akred/S/I/2020","2020","C","2025-01-14","Masih berlaku"
"Universitas Samawa","Teknik Sipil","S1","08","10569/SK/BAN-PT/AK-ISK/S/VIII/2021","2021","Baik","2025-09-15","Masih berlaku"
"Universitas Bandung Raya","Akuntansi","S1","04","538/SK/BAN-PT/Ak-PPJ/S/I/2020","2020","C","-","Masih berlaku"
"STKIP PGRI Jombang","Pendidikan Bahasa Indonesia","S1","07","3293/SK/BAN-PT/Ak-PNB/S/V/2022","2022","B","2026-08-27","Masih berlaku"
"Universitas Pamulang","Akuntansi","D-III","04","10537/SK/BAN-PT/Ak-PPJ/Dipl-III/VIII/2021","2021","B","2026-08-27","Masih berlaku"
"STAK Negeri Ambon","Musik Gereja","S2","","270/SK/BAN-PT/Ak-PPJ/M/I/2020","2020","B","-","Masih berlaku"
"Politeknik Negeri Padang","Administrasi Bisnis","D-III","","10541/SK/BAN-PT/Ak-PPJ/Dipl-III/VIII/2021","2021","B","2026-08-27","Masih berlaku"
"Universitas Bengkulu","Pendidikan Matematika","S1","","10560/SK/BAN-PT/Ak-PPJ/S/VIII/2021","2021","B","2026-08-27","Masih berlaku"
"IKIP Gunung Sitoli","Pendidikan Ekonomi","S1","01","10557/SK/BAN-PT/Ak-PPJ/S/VIII/2021","2021","B","2026-08-27","Masih berlaku"
"Universitas Bengkulu","Ilmu Kelautan","S1","","10530/SK/BAN-PT/Ak-PPJ/S/VIII/2021","2021","B","2026-08-27","Masih berlaku"
"Universitas Tarumanagara","Perencanaan Wilayah Dan Kota","S1","03","10516/SK/BAN-PT/Ak-PPJ/S/VIII/2021","2021","B","2026-08-27","Masih berlaku"
"Institut Teknologi Harapan Bangsa","Sistem Informasi","S1","04","10561/SK/BAN-PT/Ak-PPJ/S/VIII/2021","2021","B","2026-08-27","Masih berlaku"
"STAI Persis Garut","Pendidikan Agama Islam","S1","","10528/SK/BAN-PT/Ak-PPJ/S/VIII/2021","2021","Baik Sekali","2026-08-27","Masih berlaku"
"Universitas Ahmad Dahlan","Matematika","S1","05","10531/SK/BAN-PT/Ak-PPJ/S/VIII/2021","2021","B","2026-08-27","Masih berlaku"
"Universitas Muhammadiyah Surakarta","Hukum Ekonomi Syari`ah (Mu`amalah)","S1","06","13450/SK/BAN-PT/AK-ISK/S/XII/2021","2021","Unggul","2026-08-27","Masih berlaku"
"Universitas Wijaya Kusuma Surabaya","Informatika","S1","07","471/SK/BAN-PT/Ak-PPJ/S/I/2022","2022","B","2026-08-27","Masih berlaku"
"Universitas Bandung Raya","Pertamanan","S1","04","591/SK/BAN-PT/Ak-PPJ/S/I/2020","2020","C","-","Masih berlaku"
"Universitas Islam Sumatera Utara","Pendidikan Biologi","S1","01","10563/SK/BAN-PT/Ak-PPJ/S/VIII/2021","2021","B","2026-08-27","Masih berlaku"
"Institut Seni Indonesia Surakarta","Seni","S2","","172/SK/BAN-PT/Ak-PPJ/M/I/2020","2020","A","-","Masih berlaku"
"Universitas Negeri Medan","Pendidikan Teknik Mesin","S1","","1356/SK/BAN-PT/Akred-PMT/S/III/2022","2022","Unggul","2027-03-01","Masih berlaku"
"Sekolah Tinggi Teknologi Gempol","Manajemen Informatika","D-III","07","736/SK/BAN-PT/Ak-PPJ/Dipl-III/I/2020","2020","C","-","Masih berlaku"
"Institut Sains Dan Teknologi Akprind","Manajemen Informatika","D-III","05","242/SK/BAN-PT/Ak-PPJ/Dipl-III/I/2020","2020","B","-","Masih berlaku"
"Sekolah Tinggi Ilmu Ekonomi Bajiminasa Makassar","Manajemen","S1","09","579/SK/BAN-PT/Ak-PPJ/S/I/2020","2020","C","-","Masih berlaku"
"Sekolah Tinggi Teknologi Mitra Karya","Teknik Industri","S1","04","689/SK/BAN-PT/Ak-PPJ/S/I/2020","2020","C","-","Masih berlaku"
"Sekolah Tinggi Ilmu Administrasi Kawula Indonesia","Ilmu Administrasi Niaga","S1","03","855/SK/BAN-PT/Ak-PKP/S/I/2020","2020","C","-","Masih berlaku"
"Sekolah Tinggi Sains Dan Teknologi Indonesia","Teknik Elektro","S1","04","836/SK/BAN-PT/Ak-PKP/S/I/2020","2020","C","-","Masih berlaku"
"Sekolah Tinggi Bahasa Asing Cirebon","Sastra Inggris","S1","04","833/SK/BAN-PT/Ak-PKP/S/I/2020","2020","C","-","Masih berlaku"
"Sekolah Tinggi Teologi Sola Gratia Medan","Pendidikan Agama Kristen","S1","","3710/SK/BAN-PT/Ak-PKP/S/I/2020","2020","C","-","Masih berlaku"
"STMIK Kharisma Karawang","Manajemen Informatika","D-III","04","801/SK/BAN-PT/Ak-PKP/Dipl-III/I/2020","2020","C","-","Masih berlaku"
"Akademi Sekretari Manajemen Cendana","Manajemen Perusahaan","D-III","01","791/SK/BAN-PT/Ak-PKP/Dipl-III/I/2020","2020","C","-","Masih berlaku"
"Sekolah Tinggi Pariwisata Bandung","Manajemen Patiseri","D-III","","954/SK/BAN-PT/Akred/Dipl-III/I/2020","2020","A","2025-01-21","Masih berlaku"
"IAIN Surakarta","Manajemen Dakwah","S1","","1105/SK/BAN-PT/Akred/S/I/2020","2020","B","2025-01-22","Masih berlaku"
"Universitas Trisakti","Profesi Akuntan","Profesi","03","969/SK/BAN-PT/Ak-PPJ/PP/I/2020","2020","A","-","Masih berlaku"
"Universitas Pendidikan Muhammadiyah Sorong","Pendidikan Ilmu Pengetahuan Alam","S1","14","988/SK/BAN-PT/Ak-PNB/S/I/2020","2020","C","2024-07-02","Masih berlaku"
"Universitas Pendidikan Muhammadiyah Sorong","Pendidikan Pancasila Dan Kewarganegaraan","S1","14","983/SK/BAN-PT/Ak-PNB/S/I/2020","2020","B","2024-12-10","Masih berlaku"
