"0","1","2","3","4","5","6","7","8"
"Institut Teknologi Sepuluh Nopember","Teknik Sipil","S1","","6838/SK/BAN-PT/Ak-PPJ/S/XI/2020","2020","A","2025-11-01","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Statistika","S1","","7339/SK/BAN-PT/Ak-PPJ/S/XI/2020","2020","A","2025-11-15","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Mesin","D-III","","8573/SK/BAN-PT/Akred/Dipl-III/XII/2020","2020","Baik Sekali","2025-12-22","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Industri","S2","","8581/SK/BAN-PT/Ak-PPJ/M/XII/2020","2020","A","2025-11-21","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Sipil","D-III","","103/SK/BAN-PT/Ak-PPJ/Dipl-III/I/2021","2021","A","2025-12-30","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Matematika","S1","","2302/SK/BAN-PT/Ak-PPJ/S/IV/2021","2021","A","2026-04-22","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknologi Rekayasa Konversi Energi","D-IV","","2855/SK/BAN-PT/Akred/ST/V/2021","2021","Baik","2026-05-11","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Geofisika","S1","","2717/SK/BAN-PT/Akred-Itnl/S/V/2021","2021","Unggul","2024-03-31","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Sistem Perkapalan","S3","","8690/SK/BAN-PT/Akred/D/VI/2021","2021","Baik","2026-06-15","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknologi Rekayasa Instrumentasi","D-IV","","9079/SK/BAN-PT/Akred/ST/VI/2021","2021","Baik","2026-06-29","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Material","S1","","9152/SK/BAN-PT/Akred-Itnl/S/VI/2021","2021","Unggul","2023-03-31","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Mesin","S1","","9151/SK/BAN-PT/Akred-Itnl/S/VI/2021","2021","Unggul","2023-03-31","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Kimia","S1","","9150/SK/BAN-PT/Akred-Itnl/S/VI/2021","2021","Unggul","2023-03-31","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Fisika","S1","","9149/SK/BAN-PT/Akred-Itnl/S/VI/2021","2021","Unggul","2023-03-31","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Lingkungan","S1","","9148/SK/BAN-PT/Akred-Itnl/S/VI/2021","2021","Unggul","2023-03-31","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknologi Rekayasa Kimia Industri","D-IV","","9426/SK/BAN-PT/Akred/ST/VII/2021","2021","Baik","2026-07-13","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Informatika","S1","","9939/SK/BAN-PT/Ak-PPJ/S/VIII/2021","2021","A","2026-07-30","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknologi Rekayasa Otomasi","D-IV","","9916/SK/BAN-PT/Akred/ST/VIII/2021","2021","Baik","2026-08-03","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Desain Komunikasi Visual","S1","","10472/SK/BAN-PT/Akred/S/VIII/2021","2021","Baik","2026-08-31","Masih berlaku"
